CODIGO,DESC_CODIGO,CLASIFICADOR_CODIGO
0,Sector Privado y Paraestatal,Gran Sector
11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",Sector
112,Cría y explotación de animales,Subsector
1125,Acuicultura,Rama
11251,Acuicultura,Subrama
112511,Camaronicultura ,Clase
112512,"Piscicultura y otra acuicultura, excepto camaronicultura ",Clase
114,"Pesca, caza y captura",Subsector
1141,Pesca,Rama
11411,Pesca,Subrama
114111,Pesca de camarón ,Clase
114112,Pesca de túnidos ,Clase
114113,Pesca de sardina y anchoveta ,Clase
114119,"Pesca y captura de otros peces, crustáceos, moluscos y otras especies ",Clase
115,Servicios relacionados con las actividades agropecuarias y forestales,Subsector
1151,Servicios relacionados con la agricultura,Rama
11511,Servicios relacionados con la agricultura,Subrama
115111,Servicios de fumigación agrícola ,Clase
115112,Despepite de algodón ,Clase
115113,Beneficio de productos agrícolas ,Clase
115119,Otros servicios relacionados con la agricultura ,Clase
1152,Servicios relacionados con la cría y explotación de animales,Rama
11521,Servicios relacionados con la cría y explotación de animales,Subrama
115210,Servicios relacionados con la cría y explotación de animales ,Clase
1153,Servicios relacionados con el aprovechamiento forestal,Rama
11531,Servicios relacionados con el aprovechamiento forestal,Subrama
115310,Servicios relacionados con el aprovechamiento forestal ,Clase
21,Minería,Sector
211,Extracción de petróleo y gas,Subsector
2111,Extracción de petróleo y gas,Rama
21111,Extracción de petróleo y gas ,Subrama
211111,Extracción de petróleo y gas natural asociado ,Clase
212,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas",Subsector
2121,Minería de carbón mineral,Rama
21211,Minería de carbón mineral,Subrama
212110,Minería de carbón mineral ,Clase
2122,Minería de minerales metálicos,Rama
21221,Minería de hierro,Subrama
212210,Minería de hierro ,Clase
21222,Minería de oro y plata,Subrama
212221,Minería de oro ,Clase
212222,Minería de plata ,Clase
21223,"Minería de cobre, plomo y zinc",Subrama
212231,Minería de cobre ,Clase
212232,Minería de plomo y zinc ,Clase
21229,Minería de otros minerales metálicos,Subrama
212291,Minería de manganeso ,Clase
212292,Minería de mercurio y antimonio ,Clase
212299,Minería de otros minerales metálicos ,Clase
2123,Minería de minerales no metálicos,Rama
21231,"Minería de piedra caliza, mármol y otras piedras dimensionadas",Subrama
212311,Minería de piedra caliza ,Clase
212312,Minería de mármol ,Clase
212319,Minería de otras piedras dimensionadas ,Clase
21232,"Minería de arena, grava, tezontle, tepetate, arcillas y de otros minerales refractarios",Subrama
212321,Minería de arena y grava para la construcción ,Clase
212322,Minería de tezontle y tepetate ,Clase
212323,Minería de feldespato ,Clase
212324,Minería de sílice ,Clase
212325,Minería de caolín ,Clase
212329,Minería de otras arcillas y de otros minerales refractarios ,Clase
21239,Minería de otros minerales no metálicos,Subrama
212391,Minería de sal ,Clase
212392,Minería de piedra de yeso ,Clase
212393,Minería de barita ,Clase
212394,Minería de roca fosfórica ,Clase
212395,Minería de fluorita ,Clase
212396,Minería de grafito ,Clase
212397,Minería de azufre ,Clase
212398,Minería de minerales no metálicos para productos químicos ,Clase
212399,Minería de otros minerales no metálicos ,Clase
213,Servicios relacionados con la minería,Subsector
2131,Servicios relacionados con la minería,Rama
21311,Servicios relacionados con la minería,Subrama
213111,Perforación de pozos petroleros y de gas ,Clase
213119,Otros servicios relacionados con la minería ,Clase
22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",Sector
221,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",Subsector
2211,"Generación, transmisión, distribución y comercialización de energía eléctrica",Rama
22111,Generación de energía eléctrica,Subrama
221111,Generación de electricidad a partir de combustibles fósiles ,Clase
221112,Generación de electricidad a partir de energía hidráulica ,Clase
221113,Generación de electricidad a partir de energía solar ,Clase
221114,Generación de electricidad a partir de energía eólica ,Clase
221119,Generación de electricidad a partir de otro tipo de energía ,Clase
22112,"Transmisión, distribución y comercialización de energía eléctrica",Subrama
221121,Transmisión de energía eléctrica ,Clase
221122,Distribución de energía eléctrica ,Clase
221123,Comercialización de energía eléctrica ,Clase
2212,Suministro de gas natural por ductos al consumidor final,Rama
22121,Suministro de gas natural por ductos al consumidor final,Subrama
221210,Suministro de gas natural por ductos al consumidor final ,Clase
2213,"Captación, tratamiento y suministro de agua",Rama
22131,"Captación, tratamiento y suministro de agua ",Subrama
221311,"Captación, tratamiento y suministro de agua realizados por el sector privado ",Clase
221312,"Captación, tratamiento y suministro de agua realizados por el sector público ",Clase
23,Construcción,Sector
236,Edificación,Subsector
2361,Edificación residencial,Rama
23611,Edificación residencial,Subrama
236111,Edificación de vivienda unifamiliar ,Clase
236112,Edificación de vivienda multifamiliar ,Clase
236113,Supervisión de edificación residencial ,Clase
2362,Edificación no residencial,Rama
23621,Edificación de naves y plantas industriales,Subrama
236211,"Edificación de naves y plantas industriales, excepto la supervisión ",Clase
236212,Supervisión de edificación de naves y plantas industriales ,Clase
23622,Edificación de inmuebles comerciales y de servicios,Subrama
236221,"Edificación de inmuebles comerciales y de servicios, excepto la supervisión ",Clase
236222,Supervisión de edificación de inmuebles comerciales y de servicios ,Clase
237,Construcción de obras de ingeniería civil,Subsector
2371,"Construcción de obras para el suministro de agua, petróleo, gas, energía eléctrica y telecomunicaciones",Rama
23711,"Construcción de obras para el tratamiento, distribución y suministro de agua, drenaje y riego",Subrama
237111,"Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje ",Clase
237112,Construcción de sistemas de riego agrícola ,Clase
237113,"Supervisión de construcción de obras para el tratamiento, distribución y suministro de agua, drenaje y riego ",Clase
23712,Construcción de obras para petróleo y gas,Subrama
237121,Construcción de sistemas de distribución de petróleo y gas ,Clase
237122,Construcción de plantas de refinería y petroquímica ,Clase
237123,Supervisión de construcción de obras para petróleo y gas ,Clase
23713,Construcción de obras de generación y conducción de energía eléctrica y de obras para telecomunicaciones,Subrama
237131,Construcción de obras de generación y conducción de energía eléctrica ,Clase
237132,Construcción de obras para telecomunicaciones ,Clase
237133,Supervisión de construcción de obras de generación y conducción de energía eléctrica y de obras para telecomunicaciones ,Clase
2372,División de terrenos y construcción de obras de urbanización,Rama
23721,División de terrenos y construcción de obras de urbanización,Subrama
237211,División de terrenos ,Clase
237212,Construcción de obras de urbanización ,Clase
237213,Supervisión de división de terrenos y de construcción de obras de urbanización ,Clase
2373,Construcción de vías de comunicación,Rama
23731,Construcción de vías de comunicación,Subrama
237311,Instalación de señalamientos y protecciones en obras viales ,Clase
237312,"Construcción de carreteras, puentes y similares ",Clase
237313,Supervisión de construcción de vías de comunicación ,Clase
2379,Otras construcciones de ingeniería civil,Rama
23799,Otras construcciones de ingeniería civil,Subrama
237991,Construcción de presas y represas ,Clase
237992,"Construcción de obras marítimas, fluviales y subacuáticas ",Clase
237993,Construcción de obras para transporte eléctrico y ferroviario ,Clase
237994,Supervisión de construcción de otras obras de ingeniería civil ,Clase
237999,Otras construcciones de ingeniería civil ,Clase
238,Trabajos especializados para la construcción,Subsector
2381,"Cimentaciones, montaje de estructuras prefabricadas y trabajos en exteriores",Rama
23811,Trabajos de cimentaciones ,Subrama
238110,Trabajos de cimentaciones ,Clase
23812,Montaje de estructuras prefabricadas ,Subrama
238121,Montaje de estructuras de concreto prefabricadas ,Clase
238122,Montaje de estructuras de acero prefabricadas ,Clase
23813,Trabajos de albañilería ,Subrama
238130,Trabajos de albañilería ,Clase
23819,Otros trabajos en exteriores ,Subrama
238190,Otros trabajos en exteriores ,Clase
2382,Instalaciones y equipamiento en construcciones,Rama
23821,Instalaciones eléctricas en construcciones,Subrama
238210,Instalaciones eléctricas en construcciones ,Clase
23822,"Instalaciones hidrosanitarias, de gas, sistemas centrales de aire acondicionado y calefacción",Subrama
238221,Instalaciones hidrosanitarias y de gas ,Clase
238222,Instalaciones de sistemas centrales de aire acondicionado y calefacción ,Clase
23829,Otras instalaciones y equipamiento en construcciones,Subrama
238290,Otras instalaciones y equipamiento en construcciones ,Clase
2383,Trabajos de acabados en edificaciones,Rama
23831,"Colocación de muros falsos, aislamiento y enyesado",Subrama
238311,Colocación de muros falsos y aislamiento ,Clase
238312,"Trabajos de enyesado, empastado y tiroleado ",Clase
23832,Trabajos de pintura y otros cubrimientos de paredes,Subrama
238320,Trabajos de pintura y otros cubrimientos de paredes ,Clase
23833,Colocación de pisos flexibles y de madera,Subrama
238330,Colocación de pisos flexibles y de madera ,Clase
23834,Colocación de pisos cerámicos y azulejos,Subrama
238340,Colocación de pisos cerámicos y azulejos ,Clase
23835,Realización de trabajos de carpintería en el lugar de la construcción,Subrama
238350,Realización de trabajos de carpintería en el lugar de la construcción ,Clase
23839,Otros trabajos de acabados en edificaciones,Subrama
238390,Otros trabajos de acabados en edificaciones ,Clase
2389,Otros trabajos especializados para la construcción,Rama
23891,Preparación de terrenos para la construcción,Subrama
238910,Preparación de terrenos para la construcción ,Clase
23899,Otros trabajos especializados para la construcción,Subrama
238990,Otros trabajos especializados para la construcción ,Clase
31-33,Industrias manufactureras,Sector
311,Industria alimentaria,Subsector
3111,Elaboración de alimentos para animales,Rama
31111,Elaboración de alimentos para animales,Subrama
311110,Elaboración de alimentos para animales ,Clase
3112,Molienda de granos y de semillas y obtención de aceites y grasas,Rama
31121,"Beneficio del arroz, elaboración de productos de molinería, y de malta",Subrama
311211,Beneficio del arroz ,Clase
311212,Elaboración de harina de trigo ,Clase
311213,Elaboración de harina de maíz ,Clase
311214,Elaboración de harina de otros productos agrícolas ,Clase
311215,Elaboración de malta ,Clase
31122,"Elaboración de almidones, aceites y grasas vegetales comestibles",Subrama
311221,Elaboración de féculas y otros almidones y sus derivados ,Clase
311222,Elaboración de aceites y grasas vegetales comestibles ,Clase
31123,Elaboración de cereales para el desayuno,Subrama
311230,Elaboración de cereales para el desayuno ,Clase
3113,"Elaboración de azúcares, chocolates, dulces y similares",Rama
31131,Elaboración de azúcares,Subrama
311311,Elaboración de azúcar de caña ,Clase
311319,Elaboración de otros azúcares ,Clase
31134,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate",Subrama
311340,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate ",Clase
31135,Elaboración de chocolate y productos de chocolate,Subrama
311350,Elaboración de chocolate y productos de chocolate ,Clase
3114,"Conservación de frutas, verduras, guisos y otros alimentos preparados",Rama
31141,"Congelación de frutas, verduras, guisos y otros alimentos preparados",Subrama
311411,Congelación de frutas y verduras ,Clase
311412,Congelación de guisos y otros alimentos preparados ,Clase
31142,"Conservación de frutas, verduras, guisos y otros alimentos preparados por procesos distintos a la congelación",Subrama
311421,Deshidratación de frutas y verduras ,Clase
311422,Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación ,Clase
311423,Conservación de guisos y otros alimentos preparados por procesos distintos a la congelación ,Clase
3115,Elaboración de productos lácteos,Rama
31151,Elaboración de leche y derivados lácteos,Subrama
311511,Elaboración de leche líquida ,Clase
311512,"Elaboración de leche en polvo, condensada y evaporada ",Clase
311513,Elaboración de derivados y fermentos lácteos ,Clase
31152,Elaboración de helados y paletas,Subrama
311520,Elaboración de helados y paletas ,Clase
3116,"Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles",Rama
31161,"Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles",Subrama
311611,"Matanza de ganado, aves y otros animales comestibles ",Clase
311612,"Corte y empacado de carne de ganado, aves y otros animales comestibles ",Clase
311613,"Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles ",Clase
311614,Elaboración de manteca y otras grasas animales comestibles ,Clase
3117,Preparación y envasado de pescados y mariscos,Rama
31171,Preparación y envasado de pescados y mariscos,Subrama
311710,Preparación y envasado de pescados y mariscos ,Clase
3118,Elaboración de productos de panadería y tortillas,Rama
31181,Elaboración de pan y otros productos de panadería,Subrama
311811,Panificación industrial ,Clase
311812,Panificación tradicional ,Clase
311813,Elaboración de tortillas de harina de trigo de forma tradicional ,Clase
31182,Elaboración de galletas y pastas para sopa,Subrama
311820,Elaboración de galletas y pastas para sopa ,Clase
31183,Elaboración de tortillas de maíz y molienda de nixtamal,Subrama
311830,Elaboración de tortillas de maíz y molienda de nixtamal ,Clase
3119,Otras industrias alimentarias,Rama
31191,Elaboración de botanas,Subrama
311910,Elaboración de botanas ,Clase
31192,Industrias del café y del té,Subrama
311921,Beneficio del café ,Clase
311922,Elaboración de café tostado y molido ,Clase
311923,Elaboración de café instantáneo ,Clase
311924,Preparación y envasado de té ,Clase
31193,"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas",Subrama
311930,"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas ",Clase
31194,Elaboración de condimentos y aderezos,Subrama
311940,Elaboración de condimentos y aderezos ,Clase
31199,Elaboración de otros alimentos,Subrama
311991,Elaboración de gelatinas y otros postres en polvo ,Clase
311992,Elaboración de levadura ,Clase
311993,Elaboración de alimentos frescos para consumo inmediato ,Clase
311999,Elaboración de otros alimentos ,Clase
312,Industria de las bebidas y del tabaco,Subsector
3121,Industria de las bebidas,Rama
31211,"Elaboración de refrescos, hielo y otras bebidas no alcohólicas, y purificación y embotellado de agua",Subrama
312111,Elaboración de refrescos y otras bebidas no alcohólicas ,Clase
312112,Purificación y embotellado de agua ,Clase
312113,Elaboración de hielo ,Clase
31212,Elaboración de cerveza,Subrama
312120,Elaboración de cerveza ,Clase
31213,"Elaboración de bebidas alcohólicas a base de uva y bebidas fermentadas, excepto cerveza",Subrama
